,buyer,valuebought,seller
29,0x9c6c5f1b566d579cf3892b2e22bcba7d9380dcd5,0.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
30,0x8adc376f33fd467fdf3293df4eae7de6fd5ccaf1,0.35,0x25cbcfa16e43e58517f80d583087ea89241293e6
31,0x80c939f8a66c59b37330f93f1002541fd4e51aa2,3.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
32,0xabee5597eb23afde43f0b6654cd60ab8329556c7,0.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
33,0x182ab91cede43208251095c4af2aba1f2bde72a9,2.9,0x25cbcfa16e43e58517f80d583087ea89241293e6
34,0xaed58605cf7d6a9396f7c0539d51df6763808208,0.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
35,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,1,0x25cbcfa16e43e58517f80d583087ea89241293e6
36,0xf2a09a989816d76191844356ccc3df888c2fcbe5,1.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
37,0x22e11781154978fda205ddf373bb8316ad86e191,0.45,0x25cbcfa16e43e58517f80d583087ea89241293e6
38,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,3,0x25cbcfa16e43e58517f80d583087ea89241293e6
39,0xe4cbda373d6a445f83fc9125c6230ba58bc08320,0.5,0x25cbcfa16e43e58517f80d583087ea89241293e6
40,0x3bbbcbc1c0b584f61ed746096e7b67c6bc2dac93,0.55,0x25cbcfa16e43e58517f80d583087ea89241293e6
41,0x7a71504a0b717a406b6b5c7c4f5e518eab102366,0.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
42,0xdafa9e3dae493f0b9d6872eff4fda0f40d1b7488,0.65,0x25cbcfa16e43e58517f80d583087ea89241293e6
43,0xc85a331d43bc06aa03152519f43386a00129134a,1.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
44,0x7a34431f12a7aefca6938625c64d03907c8c766c,0.7,0x25cbcfa16e43e58517f80d583087ea89241293e6
45,0x8daf30dea39fb89c5e039065b7d1973863b38352,1.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
46,0xb8332710ab60a1b2e8fe6d775d83524c9e0ce136,1.85,0x25cbcfa16e43e58517f80d583087ea89241293e6
47,0x8bb5e1374e85effd86103335ff12ce943e9e29e3,1.65,0x25cbcfa16e43e58517f80d583087ea89241293e6
48,0x377079de5e8c3d105c39c3533c095431d1681f9c,1.9,0x25cbcfa16e43e58517f80d583087ea89241293e6
49,0xaf045cb0dbc1225948482e4692ec9dc7bb3cd48b,1.95,0x25cbcfa16e43e58517f80d583087ea89241293e6
50,0xb15f50e5ad35f29bf52601d6629b3de44a3b922e,0.75,0x25cbcfa16e43e58517f80d583087ea89241293e6
51,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,1.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
52,0x6130b7313833f99956a364156b3329e50695bd65,2.95,0x25cbcfa16e43e58517f80d583087ea89241293e6
53,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,4.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
54,0x877cdd92852ec06bca8d520372b266dc9195f0af,0.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
55,0xa0cf798816d4b9b9866b5330eea46a18382f251e,0.85,0x25cbcfa16e43e58517f80d583087ea89241293e6
56,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,4.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
57,0x2e419a06feb47d5f640636a55a814757fa10edf9,3.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
58,0x2e419a06feb47d5f640636a55a814757fa10edf9,1.7,0x25cbcfa16e43e58517f80d583087ea89241293e6
59,0x593ab4f8412575d4b2ea36d373c04956a8fbd3cd,0.95,0x25cbcfa16e43e58517f80d583087ea89241293e6
60,0xc69a01f038618564aa1b3498052d699511785da4,2.05,0x25cbcfa16e43e58517f80d583087ea89241293e6
61,0xd7eb093ad52e08a5defaac67e65486300aaed91b,2.5,0x25cbcfa16e43e58517f80d583087ea89241293e6
62,0x439f19e9699e92c8b52fea85bcfae067a697c882,3,0x25cbcfa16e43e58517f80d583087ea89241293e6
63,0x7fdca0a469ea8b50b92322afc0215b67d56a5e9a,2.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
64,0xe5700a95c6a5fa12b8485f2a6e9da0cf92bd3618,2.7,0x25cbcfa16e43e58517f80d583087ea89241293e6
65,0xd5780cd96fbedb2375d365223ebf2c406a04801d,2.85,0x25cbcfa16e43e58517f80d583087ea89241293e6
66,0xba7281e9ca2dd60318b3c9dfbbe9d604cd80680e,3.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
67,0x84da37133a088fbf4e21d80aec2cc260b52ea116,3.85,0x25cbcfa16e43e58517f80d583087ea89241293e6
68,0x9ccd50cbdeea92e14ea6c6941955a0bb7dce2df5,4.25,0x25cbcfa16e43e58517f80d583087ea89241293e6
69,0xdad3fd6c9fb0c2b56228e58ae191b62bfb1bec83,3.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
70,0x7de67f14f1b13a1ce9dc6c499cafb83aee2f4c2a,4.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
71,0xc68bba423525576c7684e7ea25e7d5f079b1361e,4.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
72,0xbe40dcadb6bf4de1c7810eca3504e5f3bea9cf35,0.6,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
73,0x942cbea64876ff0b2e23c0712b37dc0091804e9c,0.15,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
74,0xa8672c3cef0dce305102f20ac820c921c91ff7e2,1.65,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
75,0xcea70a987102b46515ed2f889ae9a39db04de57e,0.9,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
76,0x8da02d597a2616e9ec0c82b2b8366b00d69da29a,1.35,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
77,0xf9e13d8fc6c8f74449a9cee1088822b817526588,1.5,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
78,0xc5f1934250558ec8dd6b7352603508336c5d9ed6,2.1,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
79,0xc7d47d741007f1f4488b4ce23ec0b0ffa592f680,2.7,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
80,0x14edc14b3886b2c8068bdef3fb8c05bf07a21c2c,3.6,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
81,0x3cf08d6a9436a1798c18d24a70f5ad0bea31775e,4.05,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
82,0xdafa9e3dae493f0b9d6872eff4fda0f40d1b7488,0.02,0x445d959751d21b6a460b30d0cd0c88ce63b01847
83,0x2e44f49552c0c8e93f60318520760f619c03615f,5.55,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
84,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,5,0x25cbcfa16e43e58517f80d583087ea89241293e6
85,0x74667801993b457b8ccf19d03bbbaa52b7fff43b,1,0x25cbcfa16e43e58517f80d583087ea89241293e6
86,0x844fa8811394f5457561a5597f7dca7b077ae4fe,2.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
87,0xa49958fa14309f3720159c83cd92c5f38b1e3306,2.25,0x25cbcfa16e43e58517f80d583087ea89241293e6
88,0x6e7cacc6f2b49dfb980663bf2bb014046ac45320,3.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
89,0x308709ab07945d786b3886890be5a43420095599,2.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
90,0x830a706f2fa095bdc2d6a4881daa23fb8a5fa709,3.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
91,0x853f52661ab68ce239202306be53f158e948b3c0,4,0x25cbcfa16e43e58517f80d583087ea89241293e6
92,0x07ab4529e88349b0256ad6054e03ae9ae24cdfb1,2.55,0x25cbcfa16e43e58517f80d583087ea89241293e6
93,0xa9f078b3b6dd6c04308f19def394b6d5a1b8b732,5.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
94,0xe0a0fa1a9f35a8b8e638469456d9d4a408932313,4.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
95,0x5090c4fead5be112b643bc75d61bf42339675448,2.65,0x25cbcfa16e43e58517f80d583087ea89241293e6
96,0xbb3f043290841b97b9c92f6bc001a020d4b33255,3.9,0x25cbcfa16e43e58517f80d583087ea89241293e6
97,0xba01b079cf897f335b27d915c1ea81dc008516d6,4.1,0x25cbcfa16e43e58517f80d583087ea89241293e6
98,0xf627e5f4bad95a956468d8bb6ee20b119f992e96,6,0x25cbcfa16e43e58517f80d583087ea89241293e6
99,0xfabda191f1331630cbeeca935ad4c928078678c5,4,0x25cbcfa16e43e58517f80d583087ea89241293e6
100,0x209b07242c123ffc9aa12b3a057cb28d38412ab7,4.3,0x25cbcfa16e43e58517f80d583087ea89241293e6
101,0xde89db35d4aaa281904faccf48033a66003ea50d,5,0x25cbcfa16e43e58517f80d583087ea89241293e6
102,0x9a95c18b665e06558d01e6934d1d9c21f12b407e,4.5,0x25cbcfa16e43e58517f80d583087ea89241293e6
103,0x70b1bcb7244fedcaea2c36dc939da3a6f86af793,4.7,0x25cbcfa16e43e58517f80d583087ea89241293e6
104,0xb8b251e3d23d1beb45331c430ee12ef6fdca19dd,4.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
105,0x34e605bf9c2c8d5da1edff0a1dfa514ba39830b4,1.95,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
106,0xeae89e8ced8ee71b064c3601e19e253605b988fe,2.85,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
107,0x4a40eb870dcf533d4dc097c3d87aafe9f64490a1,3.75,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
108,0x8f08ee5e3e44bdc28127e050fcb13f5e4671433d,4.5,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
109,0xdc2ee21439a75a3794b8a1c7734548067ba2e6f7,4.65,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
110,0xfb3d11cff1ab43e311bb3dc590abc97690c38f85,0.9,0x25cbcfa16e43e58517f80d583087ea89241293e6
111,0x208e3ed55144371f318824a48f8e9d68fa38b9c0,2.45,0x25cbcfa16e43e58517f80d583087ea89241293e6
112,0x7ef34907ff0e84ed776f6c0294bb1668c0b9c8a6,5.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
113,0xd7eb093ad52e08a5defaac67e65486300aaed91b,4.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
114,0x811454c38ba35adc4c211ed47c79170560e30478,3.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
115,0x8dbd839d4fca903c69d109c4e955a2af438a76ea,3.55,0x25cbcfa16e43e58517f80d583087ea89241293e6
116,0x25cbcfa16e43e58517f80d583087ea89241293e6,3.35,0x25cbcfa16e43e58517f80d583087ea89241293e6
117,0x439f19e9699e92c8b52fea85bcfae067a697c882,3.95,0x25cbcfa16e43e58517f80d583087ea89241293e6
118,0x85b0a071f50dff09b1d1ad6d1e4e41a1d00d77ed,3.7,0x25cbcfa16e43e58517f80d583087ea89241293e6
119,0xa0d1d78f99e7c2890b0d46d8aaf9e9584fee5a2a,4.35,0x25cbcfa16e43e58517f80d583087ea89241293e6
120,0xd714d0582b2b15c86f53a2fe877abef986222599,4.45,0x25cbcfa16e43e58517f80d583087ea89241293e6
121,0xde89db35d4aaa281904faccf48033a66003ea50d,4.95,0x25cbcfa16e43e58517f80d583087ea89241293e6
122,0x2d887bf73d3667528098686aa3adc43fd9a5e0c6,4.65,0x25cbcfa16e43e58517f80d583087ea89241293e6
123,0x11b4e83bc3e9605f03e2a4c34bd09567be5aebbe,1.05,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
124,0x9d2e54dfae6a4344c9a9db96b19b013feb88bbe6,2.4,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
125,0x6f1b12a415e035eebdc8559130ea8bdb96add48c,3.3,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
126,0x71cc25e270560ab31d5d2e15e5bf896ebfc4a640,3.45,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
127,0x135c21b2da426760718e39da954974c4572ae9f6,4.35,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
128,0x70ece45cdc64a768f936ccb8ac851578251363e3,5.4,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
129,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,5.2,0x25cbcfa16e43e58517f80d583087ea89241293e6
130,0x5159128278bb4c4fd8d605576e247fda25f00d1e,1.75,0x25cbcfa16e43e58517f80d583087ea89241293e6
131,0x33baacafcb6eeaaa15699a00d02dbd2bf988e11e,2,0x25cbcfa16e43e58517f80d583087ea89241293e6
132,0xfa2e49300ac0071e0647c4784ce189badd729f44,2.15,0x25cbcfa16e43e58517f80d583087ea89241293e6
133,0xb0d9ba60e781305852f7d4e1f8a853664bfd2e46,3.05,0x25cbcfa16e43e58517f80d583087ea89241293e6
134,0x879e932b55c14ab7ceebb74fe94d2015fdc785b2,5.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
135,0x7686db0ea7aa1f9128e3b3bc51c61af872a6caf1,3.4,0x25cbcfa16e43e58517f80d583087ea89241293e6
136,0x0b62e5caff1b4f9605e78c3ca8016c0a4b4e23cb,3.45,0x25cbcfa16e43e58517f80d583087ea89241293e6
137,0x463e426b00fd9d65ceb89d0fd30fcdb76771ba6a,2.75,0x25cbcfa16e43e58517f80d583087ea89241293e6
138,0x22a6c748dc711aa485d6933652afd76eb7de9fc8,2.8,0x25cbcfa16e43e58517f80d583087ea89241293e6
139,0xf6fc8c36fae35f416ed43eddf772031fcf1196e1,3.5,0x25cbcfa16e43e58517f80d583087ea89241293e6
140,0xfc840af78a496b52e378dfa94838402e1b7f71dd,3.25,0x25cbcfa16e43e58517f80d583087ea89241293e6
141,0x9fdf724bcdf9392bd4b99a1c463ec674bc891bb9,3.65,0x25cbcfa16e43e58517f80d583087ea89241293e6
142,0x8f6c2b70f1ae03db5c92d25bdc13d4027faa4e18,4.9,0x25cbcfa16e43e58517f80d583087ea89241293e6
143,0x7bc1d6e8150d4c96917901c26c922dd64654b3c3,4.55,0x25cbcfa16e43e58517f80d583087ea89241293e6
144,0x78a2b58e4e976e4f63cd3c762a9f6bcf0ddad73f,4.75,0x25cbcfa16e43e58517f80d583087ea89241293e6
145,0xf0cad7c8b383f79a879eb6df644e336234ebdac8,0.45,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
146,0x5090c4fead5be112b643bc75d61bf42339675448,0.75,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
147,0xeb54d707252ee9e26e6a4073680bf71154ce7ab5,1.2,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
148,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,3,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
149,0x09430565e3a38884fedd42e5fd0e05656f7b24b2,3.15,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
150,0xf94455064dfc1bd53de14fed27637b46da39d917,3.9,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
151,0x5507dbd48a5a5bace8a6030e878cc4e0af147c33,0.01,0x445d959751d21b6a460b30d0cd0c88ce63b01847
152,0x02be804f3f2ce77bc981c544373d11a0668b6a31,4.8,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
153,0x4ceec332c36add621857c1e68e8957db21dc865d,4.95,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
154,0xed6a750dbf1b462c030401c54f0da598265447a7,2.1,0x25cbcfa16e43e58517f80d583087ea89241293e6
155,0xf627e5f4bad95a956468d8bb6ee20b119f992e96,1.05,0x25cbcfa16e43e58517f80d583087ea89241293e6
156,0xc4ebb122eec9b455be660d3a5ce75f377417c391,2.3,0x25cbcfa16e43e58517f80d583087ea89241293e6
157,0x3c1a491a11d500f8a6b31a69c129a0eae2b9d6f5,2.35,0x25cbcfa16e43e58517f80d583087ea89241293e6
158,0x7721f140c2968d5c639a9b40a1e6ca48a9b7c41d,3.1,0x25cbcfa16e43e58517f80d583087ea89241293e6
159,0xba01b079cf897f335b27d915c1ea81dc008516d6,4.05,0x25cbcfa16e43e58517f80d583087ea89241293e6
160,0x340dcbd638d756b0e2c5a89336150c3ff0dbd79f,3.15,0x25cbcfa16e43e58517f80d583087ea89241293e6
161,0xfc840af78a496b52e378dfa94838402e1b7f71dd,3.3,0x25cbcfa16e43e58517f80d583087ea89241293e6
162,0x9115b05c877ac8f2f8c02aeaea35f58427790e66,4.15,0x25cbcfa16e43e58517f80d583087ea89241293e6
163,0x491f3c7f724d6559d1ff8da47048b4ff29042238,3.75,0x25cbcfa16e43e58517f80d583087ea89241293e6
164,0x7b3bddf3af1d6e160d57887ff4516cb3c3add495,4.6,0x25cbcfa16e43e58517f80d583087ea89241293e6
165,0x8523d28df853d8a64b5187a458abd5d9b85fb89a,4.85,0x25cbcfa16e43e58517f80d583087ea89241293e6
166,0x6f04064808cc4fe0a57e376976eeefcbcb201ba7,0.3,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
167,0x7c6f416d4c4bc5382d1dcf2ca14f5e4eda5a6777,1.8,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
168,0x1e341aa44c293d95d13d778492d417d1be4e63d5,2.25,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
169,0x9994832a4980bcd500b44ceacba77efe5226304a,2.55,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
170,0x8fac841807e21807f511daf3c04a34cd78661f4c,4.2,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
171,0x39f4662bf97200dbfa00ed05e3141c8959151cfa,5.1,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
172,0x39f4662bf97200dbfa00ed05e3141c8959151cfa,5.25,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
173,0xf0cad7c8b383f79a879eb6df644e336234ebdac8,0.005,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
174,0x5507dbd48a5a5bace8a6030e878cc4e0af147c33,0.01,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
175,0x98397a068d413d3c92a506f98c5f25d33a9dac14,5.7,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
176,0x6f1b12a415e035eebdc8559130ea8bdb96add48c,0.015,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
177,0xd4e6fd78c21085d01dbd596d287360d746acf4d8,0.02,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
178,0x016c8780e5ccb32e5caa342a926794ce64d9c364,0.025,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
179,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,0.03,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
180,0x70ece45cdc64a768f936ccb8ac851578251363e3,0.035,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
181,0x25cbcfa16e43e58517f80d583087ea89241293e6,0.04,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
182,0x98397a068d413d3c92a506f98c5f25d33a9dac14,0.045,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
183,0x21639a426a07498c4e7157ba909f92da2d57ce87,0.05,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
184,0x0653f05d22e5fe46f15639616e3bfd51c9060214,0.055,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
185,0x1aa000e34290c1ce5cae1084cd46b1bca04ba6f2,0.06,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
186,0x597bb1cae332c7bd745d07d749a658ce791488a8,0.065,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
187,0xe62d071ea99a63798fec7222c483c53e87f2a32e,0.07,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
188,0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,0.075,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
189,0x3527a204a5260a0e36ca695312379370328e4e6c,0.08,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
190,0x28679a1a632125fbbf7a68d850e50623194a709e,0.085,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
191,0x6e7cacc6f2b49dfb980663bf2bb014046ac45320,0.09,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
192,0xcc65fa278b917042822538c44ba10ad646824026,0.095,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
193,0x1669efe64f446186ae7ae2b4dac0924c7a257fea,0.1,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
194,0xbfdb50dc66c8df9fd9688d8fe5a0c34126427645,0.105,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
195,0xdafa9e3dae493f0b9d6872eff4fda0f40d1b7488,0.11,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
196,0x6ccef09f9a03658d19fc9bc1680dfc0feb084899,0.115,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597
197,0xd0bd27c7bcbd0ce9310271989f0f2640c143542f,5.85,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
198,0x7efbdd57601b9d5e98fb325f32626ff90aabc110,6,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
199,0xf2f3d01b47c21a2339f3a508531da76a9380dcd7,6.15,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
200,0xbd19a3f0a9cace18513a1e2863d648d13975cb30,6.3,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
201,0xf0cad7c8b383f79a879eb6df644e336234ebdac8,0.01,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
202,0xabaf40768e575beb3244df2853a0505cb2d2e4bb,0.02,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
203,0xddc674c29f2b34fc2338b719c0ae711b063eeadb,6.45,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
204,0x8d90370e153499193caff8249bfc75d9e5bd5a45,6.6,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
205,0x540615ace7036247dc4c4b221384e09ad0229d1f,6.75,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
206,0x8849f498d306b4122de8274a970d21ba1ad9bc29,6.9,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
207,0x286ca7aace3afa06d0d25b0ea9311f6b2890e9be,7.05,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
208,0xf90660aa9ca55d1fcf4df7c2bbc39fb3819a7eed,7.2,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
209,0xc5fa4f262a140b29b76cd3835b112ac0ac49a6c2,7.35,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5
210,0x70ece45cdc64a768f936ccb8ac851578251363e3,0.03,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
211,0xbd4eb0295468c80725017f74113f5aebbd6e8d12,0.04,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
212,0x5507dbd48a5a5bace8a6030e878cc4e0af147c33,0.05,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
213,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0.06,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
214,0xf627e5f4bad95a956468d8bb6ee20b119f992e96,0.07,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
215,0xe5cd62ac8d2ca2a62a04958f07dd239c1ffe1a9e,0.08,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
216,0x2e44f49552c0c8e93f60318520760f619c03615f,0.09,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
217,0x8f5e117858b96780ae6c0f2ac9616fd313b8a501,0.1,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
218,0x3457f035ed77c6eb6bc2d78a6f93ae474f1ff863,0.11,0xabaf40768e575beb3244df2853a0505cb2d2e4bb
