,source,twitter,actualAirdrop
142,0x08e5f4670b8e70fe77d952ba0fbbf9f4762aaf73,0,0.15000000000000002
143,0x08e92f35863af2de2fafd888afe45b5be63e8a83,drkiddo1,0.04
144,0x0937e277649d3af92f1fd1393369994ac10b8ed7,ibnuyahya79,0.02
145,0x09430565e3a38884fedd42e5fd0e05656f7b24b2,bloqreal,0.16
146,0x094e4b82a5722271546cca99c8c351bd840669ae,chuanx2,0.02
147,0x098177a7dfa5fceeb14de6b8a8573e4b330f83d3,mithucookie,0.03
148,0x098b160335b64f42a18460a21fa42cc1262a3b26,itskaiwan,0.02
149,0x09b14b1c8a92bca0cc592a80dc311bf1a3fde9f5,dealville,0.02
150,0x09be9ab0eb61327d26904bae69efdc6633d5eec8,0,1.1
151,0x09d07aec655032f6d05482999b6b7f683e80568b,blakehunsicker,0.0356
152,0x09fabf8c79e141fea3b87629a19c1defef0b9291,mrblocktw,6.67
153,0x0a1a2f4e58a20bd6b434f4dec00ba3c12427b600,kentnguyen_,0.011
154,0x0a251df99a88a20a93876205fb7f5faf2e85a481,_endman_,0.02
155,0x0a5f919ca9132bf2ef97cac8852b3956162c1478,crypto_jy,1.01
156,0x0a6151dcf0269a56cba6aa456a3d1c52bf6b8ce6,daiveeeed,0.02
157,0x0a6f929d371081748cee11e852f18123bb51407c,bitkriegmo,0.02
158,0x0a771437ee59dcd30429dda71a1a011db8957bd1,0,1.0
159,0x0a7eb3cdce88333bac5d3a5dca24ad5d786d3659,neya28901334,0.11
160,0x0a8f4e308b17f836eab6493f42e48ac07d30946d,emil97225614,0.02
161,0x0aa54d162a5c7e4ca8378fa66e3d63db3ce88e8a,matdryhurst,1.1
162,0x0aa5973f2614dccfbe53c8273da22502d7e4fbd5,0,1.0
163,0x0ace2e202244b61b6ecfb7487591597e979d8f72,herstorydao,1.0
164,0x0ae3d5949202165584a270cbac7a733b0307a766,olegdubinin2,0.02
165,0x0afd3ee70efc71ea964b17e9a6d9d6230b570dce,aaronhaber,0.02
166,0x0b01168b77425d8a4df02f794d2ced416ec6e7d4,fabiangegunde,0.03
167,0x0b199951975654564241549d6d2794f990f49ed1,mattlovan,0.01
168,0x0b1f9e300e6e4b4c25cc73c53c8aa700e552f99f,0,0.01
169,0x0b209107a634a07fc2bc12bd79d4b91afadb26c3,efaetim,0.02
170,0x0b225411d66c8e0da9e13e818d1131448e148597,sidvpillai,0.02
171,0x0b36fb16057b97db1bf3b8b73bce4156e0ad0c63,0,0.0101
172,0x0b4ead9adb79457816d446deb57d7a22f88c644c,0,0.06
173,0x0b62e5caff1b4f9605e78c3ca8016c0a4b4e23cb,mikeconnery,0.060000000000000005
174,0x0b7917b62bc98967e06e80efba9abcaccf3d4928,ben_thank_you,0.51
175,0x0b7a1e683bb5c882722ef2f332288a10cda30a95,iodave,0.13
176,0x0b82fac4fb68336694881ae8effc822a5dc6afd9,thundamania,0.02
177,0x0b8fa0e33997038a05d78cce8e1bdfe8cfcecdef,h_bitcoiner,0.02
178,0x0bc3668d2aafa53ed5e5134ba13ec74ea195d000,0,0.02
179,0x0bd40aaf24d7c365338d23c252fe47b35d1e4bb9,mjf5v,0.017
180,0x0be197c794575579f2f238a68edf2fc5f92817ac,leo_guinan,0.02
181,0x0c0a3e6e72c93085a9b5891ed89579d96c59cd87,elcoshed,0.02
182,0x0c3a2267abb66b454132072d058dc6556434cdbd,petrikajander,0.16
183,0x0c68e2f6187a84c5963e261dbbb4a91252de9338,kunal,0.02
184,0x0c8f9b3c23a1fe8769ee5e71bf9802268fae496a,d_realeni,0.02
185,0x0c955318f4d56c57607452257ff51c142a5f2cf2,pesconett,0.02
186,0x0cacc6104d8cd9d7b2850b4f35c65c1ecdeece03,simondlr,2.83
187,0x0caed927498543bd3c4dd58bbc4c943e0ccba78e,le_roy6,0.02
188,0x0cc309aaa51b4c4adb6c8dad4341154eb0c31958,sammytotheworld,0.02
189,0x0cc9e059bff58a6bbe4b34c81e7f3416af91091a,pandazeng1,0.02
190,0x0d0aca99686fced8e6fb39134aaed96f09b5283c,afreegull2008,0.21000000000000002
191,0x0d0bd6469be80d57893cf1b21434936dfaa35319,0,1.0
192,0x0d1d670aeaebf998f1fe1c0e94e6d846d331e6d8,0,0.35
193,0x0d1fe752ac2e08ef0da1547a12c1bc3b87139d75,degen100,0.02
194,0x0d41a3f6301ab46e491850c8fdafbde0a3b41ece,prosperdao,2.02
195,0x0d610b788a324d3372641a9b7f1ee9f42e83f73c,coltontbrown,1.61
196,0x0d7bf612ab0bad63d687d319046f13c2e6bcf849,arsydotorg,0.02
197,0x0d89421d6eec0a4385f95f410732186a2ab45077,bestape,0.02
198,0x0dbb0cff7c9515fc56d352ee37aeeefdf43b25fe,keyhelp2,0.02
199,0x0dd405c35c973e3cd50718a7f1a2545fdcc4dd93,_bukkky,0.02
200,0x0de37289ab18754a1874c1c7d66ec4b1bcf9733a,kalladomcdowell,0.02
201,0x0de3db54379da910e6b6d5724a701a9602399921,dragontothemoon,0.02
202,0x0defa6c5230d1c966381faa4537d0111d9570e73,farik_tdm,0.05
203,0x0e11de3e815491b1383d2b9c4f99095c20b5bd90,0,0.1
204,0x0e2841e0e774799d9af4628d61968127975a230e,0,0.011
205,0x0e290e66b061435c9dc7f7503f7979537fd5cb7a,ethchainheavy,0.026000000000000002
206,0x0e49248f90b411c34319887331e6f8a78feda0e0,guojia17272011,0.02
207,0x0e696712daded627f370ec9bbf9f7931cf19863d,voidkross,0.02
208,0x0e6e6490c274512ac46b1ac307a100579142ee2d,cryptobill101,0.02
209,0x0eb081b03615976e0bedfea392c086a095cc3e26,alexsakmd,0.02
210,0x0eb169cb20776857950e6f689bd6b9c5b99257e6,aricaqueenia,0.09
211,0x0ebf67dbfbb6cfc3a271d242ec812b55a9c39db7,mmuehlenstein,0.02
212,0x0ec364efccb98ed3656c280a816631c1663ef0ba,chadsnuts,1.3
213,0x0eca81c3383293a9788bdbd188703fa79fc3b84a,mpjacob_,0.21000000000000002
214,0x0ed24e51a0a342150fb3ac6bbe1ae50ca986bba7,0,0.06
215,0x0eef1558c2514b96a13bdb3fa47ac8d37f7a65be,0,0.06
216,0x0f045a0d77d24c326316e0315354e7df28b4ac50,shiomueth,0.060000000000000005
217,0x0f0924a3a5111e7987a23a49af826d2ba431342e,zaiakuxx,0.06
218,0x0f1020dd3bf19518cb836b6107403ab19d3c4edf,0,0.01
219,0x0f1870e535b60652adb9acfce9b02efa3a8ff21a,911_marcel,0.02
220,0x0f1c01d98ae190ad2739a6075b21c2343d8b412e,pillheadddd,3.02
221,0x0f32c8fbd8fe29d5ef451ed9f8a13062c00ed583,fvanstry,0.26
222,0x0f48669b1681d41357eac232f516b77d0c10f0f1,0,0.01
223,0x0f76aeb96417d12e43bb706c8637823753a2083a,emma99659371,0.02
224,0x0f9b1b68f848cb65f532bc12825357201726d3d2,nickcamsmith,0.13
225,0x0fb891a1f87738969d25d5ec7d2d4b3e1bf4c132,kkbad11,0.02
226,0x0fbc61029d01fb6b52bb8474879f4a00ff672d8c,0,2.2
227,0x0fc0abdbab6db6c05df7b65270984e0f0f37ec4f,acem0,0.01
228,0x0fc84e15aeb7907a76a221169d80d3eb06cdb44b,0,1.796
229,0x0fea2126f24934a237a1cda032d03101f93d7ab3,shenyangaoti,1.0101
230,0x0ff4bcaf4d736edb8eba11dd66a4921e9f8b8b50,mkriak,0.07
231,0x1031d16912c98422f5ed30ed4bd0e1d315c85cfd,vtube_token,0.02
232,0x104562bfddade5f08582ecf2a4cd61a3759696fa,0,1.05
233,0x1081a05d112a664d9e57c125296c3ea0478f8adc,0,1.02
234,0x109bb92503c567ac52647d507849aa9429077bf9,maxkonzelmann,0.02
235,0x10a2cef2e4d1024198b04534647240ff2f21d485,cady886,0.03
236,0x10bb6d9ead108df08d5f6647fb758c85240a40e0,blueberrymarie,0.11
237,0x10c50833404d2efa959898389dabf9125b6e6f40,0,0.1
238,0x10d6d2e343281d388291a3e02f3293aaeda67178,helloshreyas,10.57
239,0x10e5fdfc4f07b9747a99aa2aa0e154011c84a9c2,qicai77,2.01
240,0x10f5d45854e038071485ac9e402308cf80d2d2fe,timbeiko,0.36
241,0x1104ba29ed2b40d1f97fb9c2f50a9c876444a10c,0,0.1
242,0x11051d33685f661c2f8a48465b77ec0a2fe7a51d,0,0.01
243,0x1128ea50438623f5cd1622535949458db1554b63,nono_zheng,1.01
244,0x113f351453fc8547e435fa71aecc8a1c70f6a24a,tijani_tairu,0.02
245,0x115e7f3fb1add3464e6ab92d98e2c1a97c01bd19,sexiesttimmy,0.02
246,0x11604a4e849b9d4c6a459a6c69938fc9bc4054db,kaz_aihara,0.02
247,0x116115fde39f9198fa1c36f35a63508f774d469a,avichal,1.03
248,0x11731586c573bc263de405603793ef48f974830f,ran_dom,1.07
249,0x117367738d599e791930fbf23eda3851844c385b,demigod_tm,0.02
250,0x1180eaef1d6c06b396f676aeb569a66f5c5dee57,0,0.01
251,0x118a565d973037ae113ca36b8132d34d8e28e5b9,desolah_,0.02
252,0x119cb457b6a4b61ee02561d7495ed42bb9b95248,kendraplex,0.02
253,0x11ae60b9f14c516b9c1a7250c79397e29d09ec57,stevefink,0.21000000000000002
254,0x11b4e83bc3e9605f03e2a4c34bd09567be5aebbe,matt__alston,0.17
255,0x11f03a2d09828730fb00537d9f7cb66af3ba6265,lianwang16,0.03
256,0x11fa19bbaf3e32eb60bec76faa67037c7a52cc5d,timeless_lab,0.02
257,0x1200eb4fa3df9903fc6eff1d7a4a5d17502329b2,0,1.21
258,0x12287c3b478caf00c93e432c12169f3527a12915,charliesque,0.02
259,0x122fcfa8e300079eaccc67a34a4f63a621ad57d7,blockchainistax,0.1
260,0x124d05e1cf1316141463224e3b9a9592044ee325,ethexploring,1.08
261,0x1263a91edb1263d7b18cb0df12e39bdbb22f5e7c,0,0.01
262,0x12867a24beb6205dc068f3a0352a4f452dd99b9a,ijohnpips,0.02
263,0x129376ca458092591d05ce549c670519d8d7e68b,partchyan,0.11
264,0x12953c2b0d0ad6ad94e1e691b332245febfbf8c9,herbertli11,0.02
265,0x12a0e25e62c1dbd32e505446062b26aecb65f028,daaab,1.01
266,0x12a5b1126bca7283ef37633b35c80236c2a85dff,sisiuju,0.02
267,0x12a9e548af685735d724deb774f447fbacd5756d,justjoolz,1.01
268,0x12b6e121cf45e03f100c296a4ee2e12c2d53df72,0,0.2
269,0x12bea9604f0ee6331dd86dff2e6569dff79e0f92,0,0.01
270,0x12cf032762d823e6925cc3e8a6ae3b21e04ee0d5,0,7.77
271,0x12ef2cd4231d5cf655a6cdd4ac1524ffaa439c17,kinkai34,0.02
272,0x1306d1550a6f1e6af60450dc6bd2031cab024925,langy3544,0.02
273,0x13307bf537a5007ea80b44a62703f2647c76260b,28truh,0.02
274,0x1334fdd8ae0694168785aca024768f1d99b65ff9,0,0.02
275,0x13370775eaa7e37df49ed4936e0503d0884b734f,kashinath_tamot,0.11
276,0x133e5a1cb22e080ec61dda88118e80a6bfd10051,0,1.001
277,0x134130dcc9724e7ddb403406ceb3d0bca24449f0,ideovc,1.0
278,0x134f21d99963eb84e1d80b0d8c565312dcc1a172,0,0.01
279,0x135ac28136f957428327e397a3232c0a9d1c1698,cryptocraziman,0.02
280,0x135c21b2da426760718e39da954974c4572ae9f6,lwsnbaker,0.47000000000000003
281,0x136021d786490b0e3178ed863ff569c6d0daa4af,btcfx295,0.02
282,0x13783136336932a54ae5a5939b237f78ae369036,ericnakagawa,0.03
283,0x137cd7fd10217f9b43ac3cd883bca112babf5883,todd_x_y,1.01
284,0x13975117e55160d6b30c34f02ae8d338fc4f951f,fntupas,1.01
285,0x13abef85a35ea83a5622bc3f4709b44252fd27fb,mapleleafcap,0.02
286,0x13ebd3443fa5575f0eb173e323d8419f7452cfb1,abcoathup,0.12
287,0x1414e3c453d4e4d67e0369f0cd632a160dbd073a,musclesphd,0.02
288,0x1417e1049b16a09912b6b85035356557428e492a,brendan_dharma,0.01
289,0x142ba743cf9317eb54ba10c157870af3cbb66bd3,0,0.004
290,0x1438fe2670272d30cdc0ce1ef657c82b8dbf271f,jonamccallum,0.03
291,0x14603a5f99dd5f626cf6f86ea0336379753ed265,tracy556677,0.12
292,0x1464d4e3c815de3028572b850c6c34dfc57e9320,mptherealmvp,1.09
293,0x146ddfa3f6309d68ac65236d719b9683d842c429,johnhartquist,0.02
294,0x148c3a0490cf722262aa4c786a3816801e3fa632,aphex__,0.02
295,0x149106d4b37837af5a503ea9791757513bae3699,ajayiaduragbem7,0.02
296,0x14977b0dbe7e155f9907effecbb70c9b7a05e737,techbubble,0.61
297,0x14a0136adcdef4bc92d1e649094ee120f165f1fc,shavbhatt,0.02
298,0x14b889b25e70f60d8dc0aa5f10c83680add61351,peachmint00,0.07
299,0x14df40586e0f2ca5ca222db0dac8df2f4c5b1aab,thehumanoidtyp2,0.02
300,0x14edc14b3886b2c8068bdef3fb8c05bf07a21c2c,0,0.25
301,0x154d801857b44c770241845195902098e4184ac3,brainy74917858,0.02
302,0x155c5882a9a4d9837b1feea54b59585814bf5fa6,matrixdapp,0.02
303,0x1577500f2bfbcc9a57468901cfe74863e0a620db,bertholet_,0.02
304,0x15a3d0fb90bb6358f165b2915273a086453bfa77,adrianricard0,0.49
305,0x15b608178c57a2c9cca1b878818488585fa260e2,etienooo,0.02
306,0x15c6ac4cf1b5e49c44332fb0a1043ccab19db80a,spengrah,0.02
307,0x15ecac227795409df99d2703de3478e115307bd5,devonwelsh,2.02
308,0x15ee42560bcd30b2034b4227d586236fdada2b21,buzzking89,0.02
309,0x15f44e08d75277915fe09d90490511e75df9b70a,ericcmack,0.04
310,0x15fd8dcc1438df7f44df7ed3cb37209e32e27b8b,jjk32700,0.05
311,0x161619839ebbada5d3c279e1a79c50f7fc4274d6,threef0921,0.02
312,0x16174273b883ec5b2ad3bd9aeea08e67a2711d0d,0,0.1
313,0x16197663f5ab963fab086abbf97e2d50cd1e2551,sohaib05419988,0.02
314,0x163e79e122736989d6959a5c8073a43d2ffa6ea2,0,0.0025
315,0x16562667452aef96e2b21b01b4b48928e44f4e71,jingsongcai,2.01
316,0x1669efe64f446186ae7ae2b4dac0924c7a257fea,0,0.10500000000000001
317,0x1670d9dc32e0837c792313b11c46a54ed822b1c4,cryptofreak21,0.02
318,0x167539702b5501aadd9b0b85e53532fd57cc71a9,0,2.22
319,0x16a1bf7aa0dca07c80760a39a2ed3030fc10c3bf,0,0.05
320,0x16c6c19329cbb46218d51b07c994468a5af864a7,usegallery,0.04
321,0x16d6e4709fff280e77847b69a3c0332e78a55625,bbcheng10,0.02
322,0x16dfe71fe5269a794d255017326f9a5db8591b22,she_256,2.02
323,0x16e648667b6bb4c7e572f5cf71874f7dd047da8d,0,0.06
324,0x16efe37c0c557d4b1d8eb76d11e13616d2b52eaf,kodbilenadam,0.02
325,0x16f1480376d8bf97e818ceb2df083f65924e01bf,sheamu6,0.02
326,0x16f530a535123cfc13a98ef5c85fd14857960eed,ishank_c,0.03
327,0x16f9752f206542988f5dd4b303ed37e7f35aefe2,gudlok_,0.02
328,0x16ffe3938b69132c72a5b0250708792db72971b4,zariat,1.171
329,0x171c8be8b92674f7d7b0593aca4619a25a40b6f0,jie79012487,0.014
330,0x1729f93e3c3c74b503b8130516984ced70bf47d9,hanxin59774420,0.02
331,0x173d7c5dbe85849a5d4b52e4b4155f66de8e2c28,zhalipt,0.02
332,0x1745aabf933f2305fe7cc4803c4ee07b19bf998b,kaaf2020,0.02
333,0x174d123ce1ef00eebf1026fbf061a7a58a928def,msg,2.21
334,0x176d13b1e6ac0476e108c3ca60b15919dff0bcdf,0,0.11
335,0x1783b559d21058080f3b6bb1a93e0cfee4779996,0x1783,1.01
336,0x1786d033d5cbcc235b673e872c7613c2f83da583,nirbhikjangid,0.41000000000000003
337,0x178e2dd087b66c839920f2a7719f631e0e9c8f27,justincone,0.01
338,0x1797850b64f121e6256053358b1f3a782cce71fb,jbhattad1,0.02
339,0x17a00b88ccd1b441877897d12d8ca8054f34eb91,senkufi,0.02
340,0x17a059b6b0c8af433032d554b0392995155452e6,brennerspear,0.02
341,0x17cd072cbd45031efc21da538c783e0ed3b25dcc,js_horne,1.201
342,0x17e06a4190444596a4727496b565f8cbc34bbb1c,zan53139636,1.01
