source,target,Votes,CF_contribution,ED_purchaseValue,SP_value,AU_value,mentions
0x0040daac32d83c78546ae36da42a496b28ab09e1,0x3d464f6946f9ee07cb0c9de51a23974fa78456f8,,,,,,1.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,0x6f1b12a415e035eebdc8559130ea8bdb96add48c,,,,,,24.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,0x78ab747d6675ab1dfee31d0bfb6862124565aefc,,,,,,2.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,0x93730ce5ac9de1db9f3fbb73bf522a690629ccec,,,,,,2.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,0x9c159121ceebf937e9bad98fd0c895d7f6038bd4,,,,,,2.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,,0.1,,,,
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0x65946ffb5fabe6d4d02f826699204336b42d436f,10.0,,,,,
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,,1.0,,,,
0x0052886567af035eb95573f36ecee43ba6453fc3,0x03e9206f2a1234fefad2c0b07a86b1e0f5cb8d0d,,,,,,2.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0x19e86826048a3458becdd6b0459db22753861906,,,,,,1.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0x2a91d4ff6ad3bf749fd4950191c780fb20819425,,,,,,3.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0x6ea4a3f77bbeeb35c859f442828358f9acb1f9c8,,,,,,1.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0x8523d28df853d8a64b5187a458abd5d9b85fb89a,,,,,,1.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0xadc05c3becb35d4c610f5ab157cf603528443391,,,,,,2.0
0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,,1.0,,,,
0x00649c890fb925ca68d2f7a78d62e932b726ec27,0x808a2adbd0a3fc679e3f7cd18d4f579bfcaaec9c,,,,,,1.0
0x00649c890fb925ca68d2f7a78d62e932b726ec27,0xc8f8e2f59dd95ff67c3d39109eca2e2a017d4c8a,,,,,,7.0
0x0064dd1840a0e5284280244f2da76aef484c6cd3,0x09fabf8c79e141fea3b87629a19c1defef0b9291,,,,,,4.0
0x006b082e8a781fdbaf499fd11aacfcebaf83d382,0xbc60aa031a9f34bd7992c99eae5e2c4dd1b5dbc3,,,,,,1.0
0x006b082e8a781fdbaf499fd11aacfcebaf83d382,0xfc63b3acd10456b6356e7524860d0b07acf71fd8,,,,,,1.0
0x007f2a96cbdf08bf1a58f1de3599cb67571a40ac,0x32802f989b4348a51dd0e61d23b78be1a0543469,10.0,,,,,
0x008c84421da5527f462886cec43d2717b686a7e4,0xc57c5ae582708e619ec1ba7513480b2e7540935f,,0.69,,,,
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x08cbf077180d45868cc04d8c053ec37025545933,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x1e8e749b2b578e181ca01962e9448006772b24a2,,,,,,2.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x2a91d4ff6ad3bf749fd4950191c780fb20819425,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x2b0d29ffa81fa6bf35d31db7c3bc11a5913b45ef,,,,,,7.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x36de990133d36d7e3df9a820aa3ede5a2320de71,,,,,,2.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x40ff52e1848660327f16ed96a307259ec1d757eb,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x5e12c32914f00ece9853c280770f6805e35153ca,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x6877be9e00d0bc5886c28419901e8cc98c1c2739,,,,,,3.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x75d4bdbf6593ed463e9625694272a0ff9a6d346f,,,,,,19.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x87885aaeeded51c7e3858a782644f5d89759f245,,,,,,4.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x9bc27a47b4413c51f884ae4e4b9170f3a0d7f742,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xb0623c91c65621df716ab8afe5f66656b21a9108,,,,,,3.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xb7f296fe3b08da98d224fbb663d3fa25150a8eea,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xb9f4568566aec3b5adea3a359c77f9a9e58c5263,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xba0111f5ec1b6f2f092e9730f5f64840f3b42c95,20.0,,,,,
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xc4f287b062a3d391bb8ff86ace1fe337f0512b23,8.0,,,,,2.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xe11bfcbdd43745d4aa6f4f18e24ad24f4623af04,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xe16c0e1bf3b75f67e83c9e47b9c0eb8bf1b99ccd,2.0,,,,,
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xe7e84204b7e180454e5c40d0e04d346214a83f85,,,,,,12.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xe826f1c06d5ae90e4c098459d1b7464a8dc604ca,,,,,,1.0
0x0090720fed7fed66ed658118b7b3bb0189d3a495,0xf296178d553c8ec21a2fbd2c5dda8ca9ac905a00,,,,,,4.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x00de4b13153673bcae2616b67bf822500d325fc3,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x0433062f9f466c4a184b2ba0e4da38efea5e2f87,,,,,,3.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x116115fde39f9198fa1c36f35a63508f774d469a,,,,,,5.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x31b4c292b4639a32a0aca72b0451499b464c58cb,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x45c9d7be80aaac6344271c32535390a42ea692ba,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x567f0164e988e5428e082994aee631acfd3eebf0,,,,,,2.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x68f9d801c96ac6ccf562f3600cef77c4504449b6,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x6d0305c0d5b5754c3c20c84fb471157f4d2b5971,,,,,,2.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0x862687eafba7a988148ef563f830e8b66fddfd8b,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0xa49958fa14309f3720159c83cd92c5f38b1e3306,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0xce2bec231cb2f2edace848cecc436015815b3572,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0xdfd7c541201b73537f574fbdacb89bc58efa2f6c,,,,,,1.0
0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0xe11bfcbdd43745d4aa6f4f18e24ad24f4623af04,,,,,,2.0
0x0093bd7c0444beaeb3743cec4aa5935758883dc6,0x2b0d29ffa81fa6bf35d31db7c3bc11a5913b45ef,,,,,,1.0
0x0093bd7c0444beaeb3743cec4aa5935758883dc6,0x6ea4a3f77bbeeb35c859f442828358f9acb1f9c8,,,,,,1.0
0x0093bd7c0444beaeb3743cec4aa5935758883dc6,0xe3b1c7a434657876c3f35003885f2edf1bcaf646,,,,,,3.0
0x0094cfba72efcafe4d45c257a713414b9502a348,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,,6.01,,,,
0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,0x4d18f8f2ae19f1e166c97793cceeb70680a2b6d2,,,,,,1.0
0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,0x662d5d79849113a5403af776210307a7c82a5267,,,,,,1.0
0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,0xc8f8e2f59dd95ff67c3d39109eca2e2a017d4c8a,,,,,,1.0
0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,0xf0cad7c8b383f79a879eb6df644e336234ebdac8,,,,,,1.0
0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,0xfa3a28bc7beedf3e196b0efb8804313c285b33dc,,,,,,5.0
0x00af41c6ee0b153e973004529db12e35a65748f6,0x648aa14e4424e0825a5ce739c8c68610e143fb79,,,,,,1.0
0x00af41c6ee0b153e973004529db12e35a65748f6,0x777b0884f97fd361c55e472530272be61ceb87c8,,,,,,1.0
0x00af41c6ee0b153e973004529db12e35a65748f6,0x9c159121ceebf937e9bad98fd0c895d7f6038bd4,,,,,,1.0
0x00af41c6ee0b153e973004529db12e35a65748f6,0xda73fb2638d14bdd2d263e0be6b9571552cb2f39,,,,,,1.0
0x00b043f0eeb912633715f3b01af922cc63b095a7,0xe3309dd02f1f7254b8cbe478ac7b5519802e151c,,,,,0.2,
0x00c62fb0ed991c19edffedf58136f42d188c3cf2,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,,0.02,,,,
0x00ce0bcc79f4097e8d3841bf3e6aadf7e4a1a136,0x567f0164e988e5428e082994aee631acfd3eebf0,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x016c8780e5ccb32e5caa342a926794ce64d9c364,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x04dcf5f5991f575aac67f2068a1392385a3080cb,,,,,,11.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x0812eeaa3510e3b1d17bf441dcbf6b355acb8889,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x0cacc6104d8cd9d7b2850b4f35c65c1ecdeece03,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x0d89421d6eec0a4385f95f410732186a2ab45077,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x0f1c01d98ae190ad2739a6075b21c2343d8b412e,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x0ff4bcaf4d736edb8eba11dd66a4921e9f8b8b50,,,,,,4.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x1319f045e5b70627fe8fe0aa4aa14dacf337f666,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x137cd7fd10217f9b43ac3cd883bca112babf5883,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x18138214e48aa957b995c9b97aa266c22fdd9bce,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x199819f4de70e3da056dc131724358255a7cb337,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x1c0aa8ccd568d90d61659f060d1bfb1e6f855a20,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x1c277bd41a276f87d3e92bccd50c7364aa2ffc69,,,,,,12.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x202d0b551f0e137efb419e70e1776b6d578bdbf3,,,,,,12.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x224e69025a2f705c8f31efb6694398f8fd09ac5c,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x29403ec0a4c563ee477b1cdee51d5db9022212fb,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x2ae8c972fb2e6c00dded8986e2dc672ed190da06,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x2b0d29ffa81fa6bf35d31db7c3bc11a5913b45ef,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x31b4c292b4639a32a0aca72b0451499b464c58cb,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x345122f6513329d169cff39ace8978edc3942b5d,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x399e0ae23663f27181ebb4e66ec504b3aab25541,,,,,,13.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x3b3525f60eeea4a1ef554df5425912c2a532875d,,,,,,16.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x3d9456ad6463a77bd77123cb4836e463030bfab4,,,,,,15.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x45af1d1d2857e3c2e6a4769a33b9792aeafa87b5,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,,,,,,9.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x48dbb9b7b562acf3c38e53deaff4686e24c3d85d,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x4a5b536a613e69f43a52f6aa7a7f3765428329ad,1000.0,,,,,
0x00de4b13153673bcae2616b67bf822500d325fc3,0x4b8ee1eef0bd930c2277a60c839834b142b373d2,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x51976f2c831640098b12b678be637af21a3cab06,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x54cc0802aa8bab73b21b897f96b37aff16239eea,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x55e2780588aa5000f464f700d2676fd0a22ee160,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x567f0164e988e5428e082994aee631acfd3eebf0,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x6375885ce997543cc7e057fe9af3e255d52fb4f4,,,,,,4.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x648aa14e4424e0825a5ce739c8c68610e143fb79,,,,,,6.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x6768050b4971f2fea3f22cdb68e6cd0055b216b0,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x68f9d801c96ac6ccf562f3600cef77c4504449b6,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x6c70e5fc4e4926cd836a6f8b0645aa1a077fa605,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x6d0305c0d5b5754c3c20c84fb471157f4d2b5971,,,,,,3.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x730fac4c4ff284434ef81072341100bb02c2fa49,,,,,,6.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x75cac0ceb8a39ddb4942a83ad2aafaf0c2a3e13f,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x75d4bdbf6593ed463e9625694272a0ff9a6d346f,,,,,,5.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x76b7de079c28008093ceb305336c7a527b192d53,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x777b0884f97fd361c55e472530272be61ceb87c8,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x7dbf85de9ee45327c243bf74f1e85309cab12441,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,,,,,,4.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x87885aaeeded51c7e3858a782644f5d89759f245,,,,,,9.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x88d01d4354da0d65c38b0196c4400525a5eebe17,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x8daf30dea39fb89c5e039065b7d1973863b38352,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x8fde485f762ebeffd5dfdbb244038b9c5f883d60,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x91628ddc3a6ff9b48a2f34fc315d243eb07a9501,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x930a7cd60a633128b7c5181307781e6d033ba51a,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x956d5740b3477f0b46dae26753b07ecbd8055908,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x9688948203067cb54d6e8c26ce2e22de2769ae87,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x9be426c8a28ee7ca935b5c27a4bc2395640c9378,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x9c159121ceebf937e9bad98fd0c895d7f6038bd4,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0x9f2942ff27e40445d3cb2aad90f84c3a03574f26,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xa5bdc4aa63275ca599316285048a900efe032c86,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xb0623c91c65621df716ab8afe5f66656b21a9108,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xc2013c235cf746a8164747e25254c7b538864e10,,,,,,12.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xc4798b79d22630cee83b4ecb0fd98cd5ff0fbb62,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xc7e6bbf6dbe78b40640385e73dc1958f4428fb3e,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xcb42ac441fcade3935243ea118701f39aa004486,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xd80548ca1058eea322dcdc740a0f322846aa25ec,,,,,,7.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xe7925d190aea9279400cd9a005e33ceb9389cc2b,,,,,,2.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xea23c259b637f72d80697d4a4d1302df9f64530b,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xf0cad7c8b383f79a879eb6df644e336234ebdac8,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xf3b1b6e83be4d55695f1d30ac3d307d9d5ca98ff,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xf4c7e772f24c10e3ce60ce549059a021f60c911e,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xf7ef27bc87d1ad0cb43bee888194ea3e1008941a,,,,,,1.0
0x00de4b13153673bcae2616b67bf822500d325fc3,0xf83775c95a00612d4cac5053dd484ffa81bae0ad,,,,,,2.0
0x00ef62c8a5faa61264bb35eaf522eabfdbd9a762,0x0b8fa0e33997038a05d78cce8e1bdfe8cfcecdef,10.0,,,,,
0x00ff6b7d26407a46af2b631b4fa452a036d027e5,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,,0.01,,,,
0x0101e91399519511ed99ba7f08bfb37b8595bf35,0x03d1a11f5e98a02ecd31962dc787000451e0c1d2,,,,,,1.0
0x0101e91399519511ed99ba7f08bfb37b8595bf35,0x38cb027d65aaf2d3f401ff9bd0599afe86f1b627,,,,,,2.0
0x0101e91399519511ed99ba7f08bfb37b8595bf35,0xc924f2e852a5a0f53e9e4898c79a116c0711f697,,,,,,1.0
0x0101e91399519511ed99ba7f08bfb37b8595bf35,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,,,,,,5.0
0x0103a4966daba5a947df52b0b892d8b3fdef5a4f,0x09fabf8c79e141fea3b87629a19c1defef0b9291,,,,,,1.0
0x0103a4966daba5a947df52b0b892d8b3fdef5a4f,0x0b8fa0e33997038a05d78cce8e1bdfe8cfcecdef,,,,,,1.0
0x0103a4966daba5a947df52b0b892d8b3fdef5a4f,0x4b4df3b4c0a893c7beefe72e1b8dae7654ae6f47,,,,,,1.0
0x0103a4966daba5a947df52b0b892d8b3fdef5a4f,0x51976f2c831640098b12b678be637af21a3cab06,,,,,,1.0
0x010d54e939da0e3784c590f119fcf6422b37df33,0xadbd9aeda5633448e8b4953b4376c9514075abf4,,0.25,,,,
0x01154a19dc8cb144189bbb21513468849c838356,0xc57c5ae582708e619ec1ba7513480b2e7540935f,,0.205,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x00de4b13153673bcae2616b67bf822500d325fc3,40.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x03e9206f2a1234fefad2c0b07a86b1e0f5cb8d0d,10.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x065527da1aace6d943b7b02924f4e407daff3661,60.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x0aa54d162a5c7e4ca8378fa66e3d63db3ce88e8a,10.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x15a3d0fb90bb6358f165b2915273a086453bfa77,90.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x15f44e08d75277915fe09d90490511e75df9b70a,10.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x1c0aa8ccd568d90d61659f060d1bfb1e6f855a20,,,,,,1.0
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x1e341aa44c293d95d13d778492d417d1be4e63d5,30.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x29403ec0a4c563ee477b1cdee51d5db9022212fb,10.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x2f8f8fbf095345577b901d88efa8ba4ec3fe8e39,20.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x3360a4e0eb33161da911b85f7c343e02ea41bbbd,140.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x376275c4f9e4fffd8a89a90852f253f8e3373f67,70.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x3839acf1ee7699d1f46b1be840d8ad8317fdf757,20.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x39a45e576ddc0540d17b1c1ce2f6dc1656ed100c,40.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x4d6eb9e5407c28b4df764465ef38d38e929aeca1,10.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x51976f2c831640098b12b678be637af21a3cab06,,,,,,2.0
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x53411aaa44d60c5d9e066b713cf9cbee19078472,20.0,,,,,
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x54cc0802aa8bab73b21b897f96b37aff16239eea,,,,,,1.0
0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x59abbee2f246946dba01fb037be603cc0b2b3909,30.0,,,,,
